colxrow,memory,pattern,combinations
2000000000,1525.87895,sets,0
2000000000,1526.41299,general missing,20000
2000000000,1528.54922,general missing,100000
2000000000,1531.21951,general missing,200000
2000000000,1525.87947,planned missing,0
