rows,columns,colxrow,seconds,pattern,library,compute,combinations,output_rows,output_cols
10000,10,100000,0.031,planned missing,upset,True,0,0,0
10000,10,100000,0.478,planned missing,upset,False,0,10000,10
10000,10,100000,0.044,planned missing,setvis,True,0,0,0
10000,10,100000,0.118,planned missing,setvis,False,0,10,10
25000,10,250000,0.075,planned missing,upset,True,0,0,0
25000,10,250000,0.325,planned missing,upset,False,0,25000,10
25000,10,250000,0.058,planned missing,setvis,True,0,0,0
25000,10,250000,0.063,planned missing,setvis,False,0,10,10
50000,10,500000,0.137,planned missing,upset,True,0,0,0
50000,10,500000,0.433,planned missing,upset,False,0,50000,10
50000,10,500000,0.097,planned missing,setvis,True,0,0,0
50000,10,500000,0.114,planned missing,setvis,False,0,10,10
100000,10,1000000,0.223,planned missing,upset,True,0,0,0
100000,10,1000000,0.378,planned missing,upset,False,0,100000,10
100000,10,1000000,0.266,planned missing,setvis,True,0,0,0
100000,10,1000000,0.26,planned missing,setvis,False,0,10,10
500000,10,5000000,1.318,planned missing,upset,True,0,0,0
500000,10,5000000,0.703,planned missing,upset,False,0,500000,10
500000,10,5000000,1.314,planned missing,setvis,True,0,0,0
500000,10,5000000,1.331,planned missing,setvis,False,0,10,10
10000,2,20000,0.423,sets,upset,True,100,0,0
10000,2,20000,0.0,sets,upset,False,100,10000,1
10000,2,20000,3.773,sets,upset,True,500,0,0
10000,2,20000,0.0,sets,upset,False,500,10000,1
10000,2,20000,0.103,sets,setvis,True,100,0,0
10000,2,20000,0.013,sets,setvis,False,100,100,110
10000,2,20000,0.109,sets,setvis,True,500,0,0
10000,2,20000,0.014,sets,setvis,False,500,500,550
10000,2,20000,0.135,sets,setvis,True,1000,0,0
10000,2,20000,0.015,sets,setvis,False,1000,1000,1100
10000,2,20000,0.674,sets,setvis,True,5000,0,0
10000,2,20000,0.014,sets,setvis,False,5000,5000,5500
10000,2,20000,2.267,sets,setvis,True,10000,0,0
10000,2,20000,0.014,sets,setvis,False,10000,10000,11000
10000,50,500000,0.21,planned missing,upset,True,0,0,0
10000,50,500000,1.181,planned missing,upset,False,0,10000,50
10000,50,500000,0.102,planned missing,setvis,True,0,0,0
10000,50,500000,0.109,planned missing,setvis,False,0,50,50
25000,2,50000,1.106,sets,upset,True,100,0,0
25000,2,50000,0.0,sets,upset,False,100,25000,1
25000,2,50000,6.894,sets,upset,True,500,0,0
25000,2,50000,0.0,sets,upset,False,500,25000,1
25000,2,50000,0.244,sets,setvis,True,100,0,0
25000,2,50000,0.019,sets,setvis,False,100,100,110
25000,2,50000,0.326,sets,setvis,True,500,0,0
25000,2,50000,0.019,sets,setvis,False,500,500,550
25000,2,50000,0.265,sets,setvis,True,1000,0,0
25000,2,50000,0.019,sets,setvis,False,1000,1000,1100
25000,2,50000,0.798,sets,setvis,True,5000,0,0
25000,2,50000,0.022,sets,setvis,False,5000,5000,5500
25000,2,50000,2.373,sets,setvis,True,10000,0,0
25000,2,50000,0.02,sets,setvis,False,10000,10600,11000
25000,50,1250000,0.343,planned missing,upset,True,0,0,0
25000,50,1250000,1.075,planned missing,upset,False,0,25000,50
25000,50,1250000,0.254,planned missing,setvis,True,0,0,0
25000,50,1250000,0.261,planned missing,setvis,False,0,50,50
50000,2,100000,2.094,sets,upset,True,100,0,0
50000,2,100000,0.0,sets,upset,False,100,50000,1
50000,2,100000,11.336,sets,upset,True,500,0,0
50000,2,100000,0.0,sets,upset,False,500,50000,1
50000,2,100000,0.55,sets,setvis,True,100,0,0
50000,2,100000,0.031,sets,setvis,False,100,100,110
50000,2,100000,0.654,sets,setvis,True,500,0,0
50000,2,100000,0.03,sets,setvis,False,500,500,550
50000,2,100000,0.652,sets,setvis,True,1000,0,0
50000,2,100000,0.033,sets,setvis,False,1000,1000,1100
50000,2,100000,1.031,sets,setvis,True,5000,0,0
50000,2,100000,0.065,sets,setvis,False,5000,5000,5500
50000,2,100000,2.769,sets,setvis,True,10000,0,0
50000,2,100000,0.063,sets,setvis,False,10000,10000,11000
50000,50,2500000,0.916,planned missing,upset,True,0,0,0
50000,50,2500000,1.167,planned missing,upset,False,0,50000,50
50000,50,2500000,0.554,planned missing,setvis,True,0,0,0
50000,50,2500000,0.585,planned missing,setvis,False,0,50,50
100000,2,200000,3.44,sets,upset,True,100,0,0
100000,2,200000,0.0,sets,upset,False,100,100000,1
100000,2,200000,21.506,sets,upset,True,500,0,0
100000,2,200000,0.0,sets,upset,False,500,100000,1
100000,2,200000,1.061,sets,setvis,True,100,0,0
100000,2,200000,0.054,sets,setvis,False,100,100,110
100000,2,200000,1.233,sets,setvis,True,500,0,0
100000,2,200000,0.061,sets,setvis,False,500,500,550
100000,2,200000,1.167,sets,setvis,True,1000,0,0
100000,2,200000,0.05,sets,setvis,False,1000,1000,1100
100000,2,200000,1.702,sets,setvis,True,5000,0,0
100000,2,200000,0.051,sets,setvis,False,5000,5000,5500
100000,2,200000,3.126,sets,setvis,True,10000,0,0
100000,2,200000,0.114,sets,setvis,False,10000,10000,11000
100000,50,100,1.646,general missing,upset,True,0,0,0
100000,50,100,1.792,general missing,upset,False,0,100000,50
100000,50,500,1.557,general missing,upset,True,0,0,0
100000,50,500,4.966,general missing,upset,False,0,100000,50
100000,50,1000,1.469,general missing,upset,True,0,0,0
100000,50,1000,9.88,general missing,upset,False,0,100000,50
100000,50,5000,1.573,general missing,upset,True,0,0,0
100000,50,5000,11.794,general missing,upset,False,0,100000,50
100000,50,10000,1.974,general missing,upset,True,0,0,0
100000,50,10000,36.351,general missing,upset,False,0,100000,50
100000,50,100,1.311,general missing,setvis,True,0,0,0
100000,50,100,1.373,general missing,setvis,False,0,100,50
100000,50,500,1.339,general missing,setvis,True,0,0,0
100000,50,500,1.383,general missing,setvis,False,0,500,50
100000,50,1000,1.343,general missing,setvis,True,0,0,0
100000,50,1000,1.421,general missing,setvis,False,0,1000,50
100000,50,5000,1.45,general missing,setvis,True,0,0,0
100000,50,5000,1.631,general missing,setvis,False,0,5000,50
100000,50,10000,1.689,general missing,setvis,True,0,0,0
100000,50,10000,1.696,general missing,setvis,False,0,10000,50
100000,50,5000000,1.553,planned missing,upset,True,0,0,0
100000,50,5000000,1.38,planned missing,upset,False,0,100000,50
100000,50,5000000,1.214,planned missing,setvis,True,0,0,0
100000,50,5000000,1.285,planned missing,setvis,False,0,50,50
500000,2,1000000,20.115,sets,upset,True,100,0,0
500000,2,1000000,0.0,sets,upset,False,100,500000,1
500000,2,1000000,113.778,sets,upset,True,500,0,0
500000,2,1000000,0.0,sets,upset,False,500,500000,1
500000,2,1000000,6.122,sets,setvis,True,100,0,0
500000,2,1000000,0.196,sets,setvis,False,100,100,110
500000,2,1000000,6.187,sets,setvis,True,500,0,0
500000,2,1000000,0.194,sets,setvis,False,500,500,550
500000,2,1000000,6.23,sets,setvis,True,1000,0,0
500000,2,1000000,0.252,sets,setvis,False,1000,1000,1100
500000,2,1000000,7.016,sets,setvis,True,5000,0,0
500000,2,1000000,0.275,sets,setvis,False,5000,5000,5500
500000,2,1000000,8.072,sets,setvis,True,10000,0,0
500000,2,1000000,0.23,sets,setvis,False,10000,10000,11000
500000,50,25000000,8.163,planned missing,upset,True,0,0,0
500000,50,25000000,3.45,planned missing,upset,False,0,500000,50
500000,50,25000000,6.58,planned missing,setvis,True,0,0,0
500000,50,25000000,6.638,planned missing,setvis,False,0,50,50
10000,100,1000000,0.313,planned missing,upset,True,0,0,0
10000,100,1000000,2.448,planned missing,upset,False,0,10000,100
10000,100,1000000,0.23,planned missing,setvis,True,0,0,0
10000,100,1000000,0.232,planned missing,setvis,False,0,100,100
25000,100,2500000,0.708,planned missing,upset,True,0,0,0
25000,100,2500000,2.72,planned missing,upset,False,0,25000,100
25000,100,2500000,0.564,planned missing,setvis,True,0,0,0
25000,100,2500000,0.538,planned missing,setvis,False,0,100,100
50000,100,5000000,1.475,planned missing,upset,True,0,0,0
50000,100,5000000,3.145,planned missing,upset,False,0,50000,100
50000,100,5000000,1.042,planned missing,setvis,True,0,0,0
50000,100,5000000,1.162,planned missing,setvis,False,0,100,100
100000,100,10000000,4.077,planned missing,upset,True,0,0,0
100000,100,10000000,3.721,planned missing,upset,False,0,100000,100
100000,100,10000000,2.258,planned missing,setvis,True,0,0,0
100000,100,10000000,2.35,planned missing,setvis,False,0,100,100
500000,100,50000000,17.858,planned missing,upset,True,0,0,0
500000,100,50000000,10.333,planned missing,upset,False,0,500000,100
500000,100,50000000,13.915,planned missing,setvis,True,0,0,0
500000,100,50000000,13.588,planned missing,setvis,False,0,100,100
10000,500,5000000,3.055,planned missing,upset,True,0,0,0
10000,500,5000000,28.203,planned missing,upset,False,0,10000,500
10000,500,5000000,1.248,planned missing,setvis,True,0,0,0
10000,500,5000000,1.266,planned missing,setvis,False,0,500,500
25000,500,12500000,5.507,planned missing,upset,True,0,0,0
25000,500,12500000,29.702,planned missing,upset,False,0,25000,500
25000,500,12500000,2.73,planned missing,setvis,True,0,0,0
25000,500,12500000,2.835,planned missing,setvis,False,0,500,500
50000,500,25000000,10.177,planned missing,upset,True,0,0,0
50000,500,25000000,31.099,planned missing,upset,False,0,50000,500
50000,500,25000000,5.242,planned missing,setvis,True,0,0,0
50000,500,25000000,5.389,planned missing,setvis,False,0,500,500
100000,500,50000000,13.195,planned missing,setvis,True,0,0,0
100000,500,50000000,12.929,planned missing,setvis,False,0,500,500
500000,500,250000000,82.946,planned missing,setvis,True,0,0,0
500000,500,250000000,83.918,planned missing,setvis,False,0,500,500
10000,700,7000000,5.319,planned missing,upset,True,0,0,0
10000,700,7000000,51.681,planned missing,upset,False,0,10000,700
10000,700,7000000,2.199,planned missing,setvis,True,0,0,0
10000,700,7000000,2.012,planned missing,setvis,False,0,700,700
25000,700,17500000,9.442,planned missing,upset,True,0,0,0
25000,700,17500000,57.38,planned missing,upset,False,0,25000,700
25000,700,17500000,4.681,planned missing,setvis,True,0,0,0
25000,700,17500000,5.164,planned missing,setvis,False,0,700,700
50000,700,35000000,17.331,planned missing,upset,True,0,0,0
50000,700,35000000,56.61,planned missing,upset,False,0,50000,700
50000,700,35000000,10.227,planned missing,setvis,True,0,0,0
50000,700,35000000,9.931,planned missing,setvis,False,0,700,700
100000,700,70000000,20.191,planned missing,setvis,True,0,0,0
100000,700,70000000,21.025,planned missing,setvis,False,0,700,700
500000,700,350000000,121.719,planned missing,setvis,True,0,0,0
500000,700,350000000,116.234,planned missing,setvis,False,0,700,700
