rows,columns,colxrow,memory,pattern,library,memory_df,memory_col,memory_row,combinations,output_rows,output_cols
10000,10,100000,3.91135,planned missing,upset,3.81483,0.0,0.0,0,10000,10
10000,10,100000,0.15284,planned missing,setvis,3.81483,0.00023,0.1526,0,10,10
25000,10,250000,9.77645,planned missing,upset,9.53688,0.0,0.0,0,25000,10
25000,10,250000,0.38172,planned missing,setvis,9.53688,0.00023,0.38148,0,10,10
50000,10,500000,19.55161,planned missing,upset,19.07362,0.0,0.0,0,50000,10
50000,10,500000,0.76319,planned missing,setvis,19.07362,0.00023,0.76295,0,10,10
100000,10,1000000,39.10193,planned missing,upset,38.14711,0.0,0.0,0,100000,10
100000,10,1000000,1.52613,planned missing,setvis,38.14711,0.00023,1.52589,0,10,10
500000,10,5000000,195.50452,planned missing,upset,190.735,0.0,0.0,0,500000,10
500000,10,5000000,7.62964,planned missing,setvis,190.735,0.00023,7.62941,0,10,10
10000,2,20000,1.14054,sets,upset,1.11498,0.0,0.0,100,10000,1
10000,2,20000,5.39794,sets,upset,1.131,0.0,0.0,500,10000,1
10000,2,20000,0.16387,sets,setvis,1.82928,0.01127,0.1526,100,100,110
10000,2,20000,0.41869,sets,setvis,1.86133,0.26609,0.1526,500,500,550
10000,2,20000,1.20929,sets,setvis,1.86533,1.05669,0.1526,1000,1000,1100
10000,2,20000,26.41681,sets,setvis,1.89906,26.26421,0.1526,5000,5000,5500
10000,2,20000,105.13309,sets,setvis,1.90327,104.98048,0.1526,10000,10000,11000
10000,50,500000,19.55672,planned missing,upset,19.07362,0.0,0.0,0,10000,50
10000,50,500000,0.15512,planned missing,setvis,19.07362,0.00252,0.1526,0,50,50
25000,2,50000,2.82855,sets,upset,2.78725,0.0,0.0,100,25000,1
25000,2,50000,13.38019,sets,upset,2.8273,0.0,0.0,500,25000,1
25000,2,50000,0.39275,sets,setvis,4.57301,0.01127,0.38148,100,100,110
25000,2,50000,0.64758,sets,setvis,4.65311,0.26609,0.38148,500,500,550
25000,2,50000,1.43817,sets,setvis,4.66313,1.05669,0.38148,1000,1000,1100
25000,2,50000,26.64569,sets,setvis,4.74743,26.26421,0.38148,5000,5000,5500
25000,2,50000,111.6608,sets,setvis,4.75691,111.27931,0.38148,10000,10600,11000
25000,50,1250000,48.8822,planned missing,upset,47.68385,0.0,0.0,0,25000,50
25000,50,1250000,0.38401,planned missing,setvis,47.68385,0.00252,0.38148,0,50,50
50000,2,100000,5.64189,sets,upset,5.57436,0.0,0.0,100,50000,1
50000,2,100000,26.68395,sets,upset,5.65447,0.0,0.0,500,50000,1
50000,2,100000,0.77422,sets,setvis,9.14587,0.01127,0.76295,100,100,110
50000,2,100000,1.02905,sets,setvis,9.30609,0.26609,0.76295,500,500,550
50000,2,100000,1.81964,sets,setvis,9.32612,1.05669,0.76295,1000,1000,1100
50000,2,100000,27.02716,sets,setvis,9.49473,26.26421,0.76295,5000,5000,5500
50000,2,100000,105.74344,sets,setvis,9.5158,104.98048,0.76295,10000,10000,11000
50000,50,2500000,97.75801,planned missing,upset,95.36757,0.0,0.0,0,50000,50
50000,50,2500000,0.76548,planned missing,setvis,95.36757,0.00252,0.76295,0,50,50
100000,2,200000,11.26856,sets,upset,11.14859,0.0,0.0,100,100000,1
100000,2,200000,53.29146,sets,upset,11.30881,0.0,0.0,500,100000,1
100000,2,200000,1.53716,sets,setvis,18.29161,0.01127,1.52589,100,100,110
100000,2,200000,1.79198,sets,setvis,18.61205,0.26609,1.52589,500,500,550
100000,2,200000,2.58258,sets,setvis,18.6521,1.05669,1.52589,1000,1000,1100
100000,2,200000,27.7901,sets,setvis,18.98932,26.26421,1.52589,5000,5000,5500
100000,2,200000,106.50638,sets,setvis,19.03147,104.98048,1.52589,10000,10000,11000
100000,50,100,195.50963,general missing,upset,190.735,0.0,0.0,0,100000,50
100000,50,500,195.50963,general missing,upset,190.735,0.0,0.0,0,100000,50
100000,50,1000,195.50963,general missing,upset,190.735,0.0,0.0,0,100000,50
100000,50,5000,195.50963,general missing,upset,190.735,0.0,0.0,0,100000,50
100000,50,10000,195.50963,general missing,upset,190.735,0.0,0.0,0,100000,50
100000,50,100,1.5308,general missing,setvis,190.735,0.00491,1.52589,0,100,50
100000,50,500,1.54987,general missing,setvis,190.735,0.02398,1.52589,0,500,50
100000,50,1000,1.57372,general missing,setvis,190.735,0.04782,1.52589,0,1000,50
100000,50,5000,1.76445,general missing,setvis,190.735,0.23856,1.52589,0,5000,50
100000,50,10000,2.00287,general missing,setvis,190.735,0.47697,1.52589,0,10000,50
100000,50,5000000,195.50963,planned missing,upset,190.735,0.0,0.0,0,100000,50
100000,50,5000000,1.52842,planned missing,setvis,190.735,0.00252,1.52589,0,50,50
500000,2,1000000,56.28199,sets,upset,55.7424,0.0,0.0,100,500000,1
500000,2,1000000,266.15157,sets,upset,56.54349,0.0,0.0,500,500000,1
500000,2,1000000,7.64068,sets,setvis,91.4575,0.01127,7.62941,100,100,110
500000,2,1000000,7.8955,sets,setvis,93.05968,0.26609,7.62941,500,500,550
500000,2,1000000,8.6861,sets,setvis,93.25995,1.05669,7.62941,1000,1000,1100
500000,2,1000000,33.89362,sets,setvis,94.94604,26.26421,7.62941,5000,5000,5500
500000,2,1000000,112.60989,sets,setvis,95.15681,104.98048,7.62941,10000,10000,11000
500000,50,25000000,977.52257,planned missing,upset,953.67445,0.0,0.0,0,500000,50
500000,50,25000000,7.63193,planned missing,setvis,953.67445,0.00252,7.62941,0,50,50
10000,100,1000000,39.11343,planned missing,upset,38.14711,0.0,0.0,0,10000,100
10000,100,1000000,0.16228,planned missing,setvis,38.14711,0.00967,0.1526,0,100,100
25000,100,2500000,97.7644,planned missing,upset,95.36757,0.0,0.0,0,25000,100
25000,100,2500000,0.39116,planned missing,setvis,95.36757,0.00967,0.38148,0,100,100
50000,100,5000000,195.51602,planned missing,upset,190.735,0.0,0.0,0,50000,100
50000,100,5000000,0.77263,planned missing,setvis,190.735,0.00967,0.76295,0,100,100
100000,100,10000000,391.01925,planned missing,upset,381.46986,0.0,0.0,0,100000,100
100000,100,10000000,1.53557,planned missing,setvis,381.46986,0.00967,1.52589,0,100,100
500000,100,50000000,1955.04513,planned missing,upset,1907.34877,0.0,0.0,0,500000,100
500000,100,50000000,7.63908,planned missing,setvis,1907.34877,0.00967,7.62941,0,100,100
10000,500,5000000,195.56752,planned missing,upset,190.735,0.0,0.0,0,10000,500
10000,500,5000000,0.39116,planned missing,setvis,190.735,0.23856,0.1526,0,500,500
25000,500,12500000,488.82237,planned missing,upset,476.8373,0.0,0.0,0,25000,500
25000,500,12500000,0.62004,planned missing,setvis,476.8373,0.23856,0.38148,0,500,500
50000,500,25000000,977.58046,planned missing,upset,953.67445,0.0,0.0,0,50000,500
