rows,columns,colxrow,memory,pattern,library,memory_df,memory_col,memory_row,combinations,output_rows,output_cols
50000,500,25000000,1.00151,planned missing,setvis,953.67445,0.23856,0.76295,0,500,500
100000,500,50000000,1.76445,planned missing,setvis,1907.34877,0.23856,1.52589,0,500,500
500000,500,250000000,7.86797,planned missing,setvis,9536.7433,0.23856,7.62941,0,500,500
10000,700,7000000,273.79456,planned missing,upset,267.02895,0.0,0.0,0,10000,700
10000,700,7000000,0.62004,planned missing,setvis,267.02895,0.46744,0.1526,0,700,700
25000,700,17500000,684.35135,planned missing,upset,667.57216,0.0,0.0,0,25000,700
25000,700,17500000,0.84892,planned missing,setvis,667.57216,0.46744,0.38148,0,700,700
50000,700,35000000,1368.61268,planned missing,upset,1335.14418,0.0,0.0,0,50000,700
50000,700,35000000,1.23039,planned missing,setvis,1335.14418,0.46744,0.76295,0,700,700
100000,700,70000000,1.99333,planned missing,setvis,2670.28822,0.46744,1.52589,0,700,700
500000,700,350000000,8.09685,planned missing,setvis,13351.44057,0.46744,7.62941,0,700,700
